!NGx Ngy
171 121
!  x[cm]	   y[cm]	  Bx[Arb]	By[Arb]		
-7.000000	-6.000000	 0.365184	-0.107042
-7.000000	-5.900000	 0.366605	-0.119266
-7.000000	-5.800000	 0.365609	-0.127396
-7.000000	-5.700000	 0.370096	-0.138657
-7.000000	-5.600000	 0.370463	-0.153620
-7.000000	-5.500000	 0.372964	-0.166728
-7.000000	-5.400000	 0.370181	-0.177422
-7.000000	-5.300000	 0.370840	-0.191836
-7.000000	-5.200000	 0.374638	-0.205091
-7.000000	-5.100000	 0.378435	-0.214270
-7.000000	-5.000000	 0.379890	-0.225778
-7.000000	-4.900000	 0.379323	-0.238655
-7.000000	-4.800000	 0.380004	-0.253610
-7.000000	-4.700000	 0.379385	-0.264456
-7.000000	-4.600000	 0.377244	-0.284919
-7.000000	-4.500000	 0.376782	-0.296943
-7.000000	-4.400000	 0.384036	-0.310417
-7.000000	-4.300000	 0.380188	-0.324216
-7.000000	-4.200000	 0.380018	-0.340454
-7.000000	-4.100000	 0.381832	-0.353993
-7.000000	-4.000000	 0.377700	-0.370720
-7.000000	-3.900000	 0.382244	-0.383433
-7.000000	-3.800000	 0.378165	-0.400048
-7.000000	-3.700000	 0.375234	-0.416446
-7.000000	-3.600000	 0.371825	-0.432630
-7.000000	-3.500000	 0.370114	-0.448133
-7.000000	-3.400000	 0.363972	-0.461716
-7.000000	-3.300000	 0.362969	-0.480418
-7.000000	-3.200000	 0.361315	-0.492834
-7.000000	-3.100000	 0.351933	-0.506539
-7.000000	-3.000000	 0.351656	-0.522841
-7.000000	-2.900000	 0.341606	-0.545174
-7.000000	-2.800000	 0.334203	-0.552705
-7.000000	-2.700000	 0.327955	-0.572730
-7.000000	-2.600000	 0.318379	-0.584653
-7.000000	-2.500000	 0.309483	-0.599137
-7.000000	-2.400000	 0.304053	-0.617172
-7.000000	-2.300000	 0.297882	-0.630197
-7.000000	-2.200000	 0.281720	-0.639630
-7.000000	-2.100000	 0.275736	-0.649136
-7.000000	-2.000000	 0.264136	-0.668118
-7.000000	-1.900000	 0.253830	-0.677081
-7.000000	-1.800000	 0.241171	-0.690361
-7.000000	-1.700000	 0.234547	-0.697347
-7.000000	-1.600000	 0.218229	-0.705411
-7.000000	-1.500000	 0.210423	-0.715822
-7.000000	-1.400000	 0.192417	-0.731160
-7.000000	-1.300000	 0.176938	-0.734438
-7.000000	-1.200000	 0.168601	-0.742144
-7.000000	-1.100000	 0.157753	-0.751381
-7.000000	-1.000000	 0.141981	-0.755139
-7.000000	-0.900000	 0.128545	-0.762625
-7.000000	-0.800000	 0.110633	-0.767750
-7.000000	-0.700000	 0.099037	-0.773035
-7.000000	-0.600000	 0.082253	-0.775196
-7.000000	-0.500000	 0.071408	-0.776433
-7.000000	-0.400000	 0.056245	-0.779553
-7.000000	-0.300000	 0.042411	-0.781462
-7.000000	-0.200000	 0.029779	-0.783804
-7.000000	-0.100000	 0.014302	-0.787253
-7.000000	-0.000000	-0.000521	-0.788505
-7.000000	 0.100000	-0.014865	-0.785697
-7.000000	 0.200000	-0.028803	-0.788296
-7.000000	 0.300000	-0.041572	-0.784470
-7.000000	 0.400000	-0.056950	-0.781434
-7.000000	 0.500000	-0.071040	-0.779388
-7.000000	 0.600000	-0.087219	-0.779868
-7.000000	 0.700000	-0.099240	-0.771479
-7.000000	 0.800000	-0.111603	-0.768230
-7.000000	 0.900000	-0.126000	-0.763854
-7.000000	 1.000000	-0.142434	-0.755433
-7.000000	 1.100000	-0.156825	-0.753413
-7.000000	 1.200000	-0.169900	-0.741705
-7.000000	 1.300000	-0.180915	-0.734940
-7.000000	 1.400000	-0.194321	-0.726939
-7.000000	 1.500000	-0.206207	-0.716678
-7.000000	 1.600000	-0.221961	-0.705206
-7.000000	 1.700000	-0.234923	-0.700174
-7.000000	 1.800000	-0.238623	-0.683903
-7.000000	 1.900000	-0.250659	-0.677193
-7.000000	 2.000000	-0.265030	-0.665366
-7.000000	 2.100000	-0.278672	-0.652643
-7.000000	 2.200000	-0.287322	-0.639392
-7.000000	 2.300000	-0.292027	-0.629250
-7.000000	 2.400000	-0.304555	-0.612544
-7.000000	 2.500000	-0.315512	-0.599586
-7.000000	 2.600000	-0.319742	-0.586373
-7.000000	 2.700000	-0.331623	-0.570553
-7.000000	 2.800000	-0.333748	-0.554420
-7.000000	 2.900000	-0.342887	-0.541073
-7.000000	 3.000000	-0.351141	-0.523913
-7.000000	 3.100000	-0.354581	-0.507147
-7.000000	 3.200000	-0.358423	-0.497557
-7.000000	 3.300000	-0.363089	-0.480814
-7.000000	 3.400000	-0.366887	-0.463453
-7.000000	 3.500000	-0.369267	-0.450223
-7.000000	 3.600000	-0.370678	-0.429696
-7.000000	 3.700000	-0.374557	-0.413979
-7.000000	 3.800000	-0.378255	-0.403219
-7.000000	 3.900000	-0.378675	-0.382432
-7.000000	 4.000000	-0.379066	-0.371163
-7.000000	 4.100000	-0.377611	-0.351282
-7.000000	 4.200000	-0.383653	-0.340719
-7.000000	 4.300000	-0.382002	-0.322454
-7.000000	 4.400000	-0.380093	-0.308912
-7.000000	 4.500000	-0.381267	-0.297925
-7.000000	 4.600000	-0.379346	-0.279920
-7.000000	 4.700000	-0.382255	-0.268673
-7.000000	 4.800000	-0.380416	-0.251927
-7.000000	 4.900000	-0.378124	-0.236319
-7.000000	 5.000000	-0.377988	-0.225309
-7.000000	 5.100000	-0.373053	-0.213355
-7.000000	 5.200000	-0.375807	-0.200467
-7.000000	 5.300000	-0.377420	-0.190778
-7.000000	 5.400000	-0.372144	-0.175303
-7.000000	 5.500000	-0.370940	-0.163614
-7.000000	 5.600000	-0.370962	-0.152065
-7.000000	 5.700000	-0.365773	-0.141499
-7.000000	 5.800000	-0.366600	-0.126643
-7.000000	 5.900000	-0.364414	-0.119490
-7.000000	 6.000000	-0.362546	-0.106979
-6.900000	-6.000000	 0.375239	-0.109568
-6.900000	-5.900000	 0.375224	-0.117341
-6.900000	-5.800000	 0.376915	-0.132169
-6.900000	-5.700000	 0.379390	-0.139246
-6.900000	-5.600000	 0.381494	-0.151680
-6.900000	-5.500000	 0.382093	-0.165847
-6.900000	-5.400000	 0.383742	-0.177935
-6.900000	-5.300000	 0.384755	-0.184824
-6.900000	-5.200000	 0.387597	-0.204788
-6.900000	-5.100000	 0.389446	-0.210284
-6.900000	-5.000000	 0.389711	-0.226618
-6.900000	-4.900000	 0.390131	-0.238403
-6.900000	-4.800000	 0.395425	-0.254313
-6.900000	-4.700000	 0.397752	-0.264597
-6.900000	-4.600000	 0.394623	-0.281691
-6.900000	-4.500000	 0.393306	-0.294331
-6.900000	-4.400000	 0.398002	-0.310434
-6.900000	-4.300000	 0.395168	-0.323445
-6.900000	-4.200000	 0.398202	-0.339110
-6.900000	-4.100000	 0.397242	-0.357627
-6.900000	-4.000000	 0.393364	-0.367740
-6.900000	-3.900000	 0.392005	-0.385783
-6.900000	-3.800000	 0.396643	-0.402264
-6.900000	-3.700000	 0.392180	-0.418541
-6.900000	-3.600000	 0.385589	-0.434978
-6.900000	-3.500000	 0.391903	-0.451522
-6.900000	-3.400000	 0.383047	-0.466820
-6.900000	-3.300000	 0.379839	-0.481631
-6.900000	-3.200000	 0.372356	-0.498106
-6.900000	-3.100000	 0.371967	-0.514836
-6.900000	-3.000000	 0.363350	-0.531433
-6.900000	-2.900000	 0.356345	-0.548657
-6.900000	-2.800000	 0.354806	-0.562913
-6.900000	-2.700000	 0.342214	-0.582800
-6.900000	-2.600000	 0.336446	-0.590302
-6.900000	-2.500000	 0.327052	-0.612326
-6.900000	-2.400000	 0.316309	-0.622062
-6.900000	-2.300000	 0.313458	-0.632835
-6.900000	-2.200000	 0.298457	-0.646038
-6.900000	-2.100000	 0.291791	-0.664734
-6.900000	-2.000000	 0.277961	-0.674007
-6.900000	-1.900000	 0.267267	-0.686528
-6.900000	-1.800000	 0.257077	-0.701652
-6.900000	-1.700000	 0.243363	-0.711409
-6.900000	-1.600000	 0.230112	-0.722712
-6.900000	-1.500000	 0.216022	-0.728755
-6.900000	-1.400000	 0.201661	-0.743728
-6.900000	-1.300000	 0.191495	-0.746932
-6.900000	-1.200000	 0.176049	-0.757697
-6.900000	-1.100000	 0.164436	-0.759890
-6.900000	-1.000000	 0.148138	-0.770127
-6.900000	-0.900000	 0.131721	-0.778237
-6.900000	-0.800000	 0.118939	-0.781520
-6.900000	-0.700000	 0.101988	-0.788648
-6.900000	-0.600000	 0.087664	-0.792852
-6.900000	-0.500000	 0.070055	-0.794149
-6.900000	-0.400000	 0.057747	-0.799275
-6.900000	-0.300000	 0.049409	-0.803065
-6.900000	-0.200000	 0.033625	-0.800127
-6.900000	-0.100000	 0.016214	-0.803749
-6.900000	-0.000000	-0.000480	-0.803686
-6.900000	 0.100000	-0.015739	-0.801508
-6.900000	 0.200000	-0.029131	-0.799507
-6.900000	 0.300000	-0.042693	-0.795260
-6.900000	 0.400000	-0.061095	-0.798270
-6.900000	 0.500000	-0.076453	-0.790525
-6.900000	 0.600000	-0.089017	-0.789200
-6.900000	 0.700000	-0.107692	-0.790314
