#      RECTANGULAR GRID:                                                         
#     R    151 POINTS: R=0.60000E+03,0.75000E+03,0.10000E+01                     
#     Z     11 POINTS: Z=0.00000E+00,0.10000E+02,0.10000E+01                     
# TABLE: R         Z          BR          BZ                                     
 0.60000E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60100E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60200E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60300E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60400E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60500E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60600E+03 0.00000E+00 0.00000E+00 0.00000E+00
 0.60700E+03 0.00000E+00 0.00000E+00 0.37494E+03
 0.60800E+03 0.00000E+00 0.24179E-16 0.37602E+03
 0.60900E+03 0.00000E+00 0.00000E+00 0.37768E+03
 0.61000E+03 0.00000E+00 0.00000E+00 0.38026E+03
 0.61100E+03 0.00000E+00 0.00000E+00 0.38362E+03
 0.61200E+03 0.00000E+00 0.89510E-16 0.38769E+03
 0.61300E+03 0.00000E+00 0.00000E+00 0.39246E+03
 0.61400E+03 0.00000E+00 0.00000E+00 0.39825E+03
 0.61500E+03 0.00000E+00 0.00000E+00 0.40488E+03
 0.61600E+03 0.00000E+00 0.16442E-15 0.41225E+03
 0.61700E+03 0.00000E+00 0.00000E+00 0.42039E+03
 0.61800E+03 0.00000E+00 0.00000E+00 0.42975E+03
 0.61900E+03 0.00000E+00 0.14849E-15 0.43997E+03
 0.62000E+03 0.00000E+00 0.00000E+00 0.45107E+03
 0.62100E+03 0.00000E+00 0.00000E+00 0.46304E+03
 0.62200E+03 0.00000E+00 0.00000E+00 0.47645E+03
 0.62300E+03 0.00000E+00 0.22359E-15 0.49084E+03
 0.62400E+03 0.00000E+00 0.00000E+00 0.50626E+03
 0.62500E+03 0.00000E+00 0.00000E+00 0.52278E+03
 0.62600E+03 0.00000E+00 0.15436E-15 0.54097E+03
 0.62700E+03 0.00000E+00 0.00000E+00 0.56033E+03
 0.62800E+03 0.00000E+00 0.00000E+00 0.58090E+03
 0.62900E+03 0.00000E+00 0.00000E+00 0.60291E+03
